ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Rxrb	1	0	0	0	0	0
Rybp	1	0	0	0	0	0
Ryr3	1	0	0	0	0	0
Sbk1	1	0	0	0	0	0
Scn4a	1	0	0	0	0	0
Sdc3	1	0	0	0	0	0
Sdpr	1	0	0	0	0	0
Sec16b	1	0	0	0	0	0
Serpinb6b	1	0	0	0	0	0
Serpinb9g	1	0	0	0	0	0
Sertad4	1	0	0	0	0	0
Sestd1	1	0	0	0	0	0
Setd4	1	0	0	0	0	0
Sft2d2	1	0	0	0	0	0
Sft2d3	1	0	0	0	0	0
Sh3bp4	1	0	0	0	0	0
Shb	1	0	0	0	0	0
Siah2	1	0	0	0	0	0
Sik1	1	0	0	0	0	0
Slc11a2	1	0	0	0	0	0
Slc25a25	1	0	0	0	0	0
Slc25a33	1	0	0	0	0	0
Slc38a2	1	0	0	0	0	0
Slc41a1	1	0	0	0	0	0
Slc4a3	1	0	0	0	0	0
Slc5a6	1	0	0	0	0	0
Slc6a6	1	0	0	0	0	0
Slco4a1	1	0	0	0	0	0
Smad2	1	0	0	0	0	0
Smarce1	1	0	0	0	0	0
Smug1	1	0	0	0	0	0
Snrk	1	0	0	0	0	0
Sntb1	1	0	0	0	0	0
Snx18	1	0	0	0	0	0
Snx19	1	0	0	0	0	0
Socs2	1	0	0	0	0	0
Socs3	1	0	0	0	0	0
Sowahc	1	0	0	0	0	0
Sox8	1	0	0	0	0	0
Sox9	1	0	0	0	0	0
Sparc	1	0	0	0	0	0
Spin1	1	0	0	0	0	0
Spin4	1	0	0	0	0	0
Srd5a3	1	0	0	0	0	0
Srgap3	1	0	0	0	0	0
Srp9	1	0	0	0	0	0
Srsf4	1	0	0	0	0	0
Sspn	1	0	0	0	0	0
Ssx2ip	1	0	0	0	0	0
Stard13	1	0	0	0	0	0
Stim2	1	0	0	0	0	0
Stk24	1	0	0	0	0	0
Stmnd1	1	0	0	0	0	0
Strbp	1	0	0	0	0	0
Stx6	1	0	0	0	0	0
Sucnr1	1	0	0	0	0	0
Susd5	1	0	0	0	0	0
Svil	1	0	0	0	0	0
Sypl	1	0	0	0	0	0
Syt8	1	0	0	0	0	0
Tanc2	1	0	0	0	0	0
Tango6	1	0	0	0	0	0
Taok1	1	0	0	0	0	0
Tbc1d1	1	0	0	0	0	0
Tbc1d23	1	0	0	0	0	0
Tbx1	1	0	0	0	0	0
Tceal1	1	0	0	0	0	0
Tceanc	1	0	0	0	0	0
Tcf12	1	0	0	0	0	0
Tcof1	1	0	0	0	0	0
Tenm3	1	0	0	0	0	0
Tet2	1	0	0	0	0	0
Tfrc	1	0	0	0	0	0
Tgfbr2	1	0	0	0	0	0
Tgif1	1	0	0	0	0	0
Tgm2	1	0	0	0	0	0
Thbs1	1	0	0	0	0	0
Thnsl1	1	0	0	0	0	0
Thoc7	1	0	0	0	0	0
Tjp1	1	0	0	0	0	0
Tle3	1	0	0	0	0	0
Tmem106c	1	0	0	0	0	0
Tmem126b	1	0	0	0	0	0
Tmem167	1	0	0	0	0	0
Tmem17	1	0	0	0	0	0
Tmem38b	1	0	0	0	0	0
Tmem64	1	0	0	0	0	0
Tmem8c	1	0	0	0	0	0
Tmpo	1	0	0	0	0	0
Tnfaip3	1	0	0	0	0	0
Tnfrsf22	1	0	0	0	0	0
Tnfsf15	1	0	0	0	0	0
Tnks2	1	0	0	0	0	0
Tnnc2	1	0	0	0	0	0
Tnpo1	1	0	0	0	0	0
Tnrc6c	1	0	0	0	0	0
Tns3	1	0	0	0	0	0
Tob1	1	0	0	0	0	0
Tomm20	1	0	0	0	0	0
Top1	1	0	0	0	0	0
Tpd52l2	1	0	0	0	0	0
Tpm1	1	0	0	0	0	0
Tram2	1	0	0	0	0	0
Trappc11	1	0	0	0	0	0
Trim63	1	0	0	0	0	0
Trim72	1	0	0	0	0	0
Trio	1	0	0	0	0	0
Trp63	1	0	0	0	0	0
Tsc22d1	1	0	0	0	0	0
Tslp	1	0	0	0	0	0
Tspyl5	1	0	0	0	0	0
Ttc32	1	0	0	0	0	0
Ttpal	1	0	0	0	0	0
Tubb2b	1	0	0	0	0	0
Tubb6	1	0	0	0	0	0
Tube1	1	0	0	0	0	0
U2af1	1	0	0	0	0	0
Ube2h	1	0	0	0	0	0
Ube2j1	1	0	0	0	0	0
Ufm1	1	0	0	0	0	0
Utp6	1	0	0	0	0	0
Uxs1	1	0	0	0	0	0
Vegfa	1	0	0	0	0	0
Vps37b	1	0	0	0	0	0
Vps37c	1	0	0	0	0	0
Vps41	1	0	0	0	0	0
Wbp2	1	0	0	0	0	0
Wnt9a	1	0	0	0	0	0
Wsb1	1	0	0	0	0	0
Ywhaz	1	0	0	0	0	0
Zbtb14	1	0	0	0	0	0
Zc3h11a	1	0	0	0	0	0
Zc3h12a	1	0	0	0	0	0
Zc3hc1	1	0	0	0	0	0
Zcchc2	1	0	0	0	0	0
Zcchc6	1	0	0	0	0	0
Zdhhc20	1	0	0	0	0	0
Zeb1	1	0	0	0	0	0
Zfand5	1	0	0	0	0	0
Zfp266	1	0	0	0	0	0
Zfp275	1	0	0	0	0	0
Zfp36l1	1	0	0	0	0	0
Zfp395	1	0	0	0	0	0
